TRAM,Rang,geometry_wkt
T15621W,20-25 µg/m³,"MULTILINESTRING ((2.1833111883954546 41.38360567999871, 2.1832078761141114 41.38365278628585))"
T17971X,20-25 µg/m³,"MULTILINESTRING ((2.1404889993228737 41.429457486337746, 2.1406727572974362 41.42961118303304, 2.1410844695956426 41.4299526021354))"
T01863R,25-30 µg/m³,"MULTILINESTRING ((2.159590980660262 41.386480332705716, 2.1607259151615814 41.38733182205968))"
T10276F,20-25 µg/m³,"MULTILINESTRING ((2.2068902837113775 41.42671283426989, 2.206380959841437 41.42693209766273))"
T21256K,25-30 µg/m³,"MULTILINESTRING ((2.146020337670592 41.37048771441771, 2.14629100639819 41.37012982487913))"
T09532H,20-25 µg/m³,"MULTILINESTRING ((2.196727817345924 41.4146921600969, 2.197877559561936 41.41556960497775))"
T05538X,15-20 µg/m³,"MULTILINESTRING ((2.1343536249288864 41.432298594899905, 2.134142388202125 41.4325257144477, 2.1340706979410613 41.432697631779504, 2.1340452743748637 41.43286989707101, 2.1341119269907716 41.43307735340575, 2.1344298339199734 41.43352813447027, 2.1345658899539437 41.43373611229835, 2.134610097896406 41.43389165184292, 2.1345851329633856 41.434029431173286, 2.134467860741789 41.434149276322756, 2.1343286108644937 41.43418271885222, 2.13414330976374 41.43419857463597, 2.1340056508449186 41.43411131100852, 2.133806391357954 41.43343721730203, 2.133669442379609 41.43307416872239, 2.133623934500947 41.432881553389095, 2.1336214257389137 41.432741576853985, 2.1336752688286214 41.43257167828949, 2.133746054874056 41.43239942112347, 2.1338306667235254 41.43221077529624, 2.1338796467009535 41.432029373553824, 2.1338317699441087 41.43187363494198, 2.133682078720264 41.43173840580867, 2.133471860351146 41.43167630275257, 2.132442188153819 41.43195128291807, 2.1322522509753856 41.43198228728984, 2.13210367291491 41.431970475496804, 2.131925695250405 41.43190236149382, 2.13130650077543 41.43164493319066, 2.1310821202264165 41.43161829831725, 2.1308411346675156 41.43166654263867, 2.130084168619391 41.43182235596732, 2.129863707043288 41.43185810686295, 2.1290163618100615 41.43177996426917, 2.1285766141097806 41.431793876846186, 2.128043411313573 41.431876067979545, 2.127521673529487 41.43188846378064, 2.1271523917700335 41.431816001092024, 2.1267673213162195 41.431687445213605, 2.1265018231429034 41.43151748736283))"
T19562S,20-25 µg/m³,"MULTILINESTRING ((2.1871181642876656 41.43761724043842, 2.18611680247758 41.43778937831601))"
T03360H,20-25 µg/m³,"MULTILINESTRING ((2.125941111548503 41.37646313167787, 2.1266984552441848 41.37675762290182))"
T03707O,20-25 µg/m³,"MULTILINESTRING ((2.1709601654056687 41.374899996515246, 2.1703630557786213 41.373737605525))"
T02977E,25-30 µg/m³,"MULTILINESTRING ((2.1393242798161443 41.370764424098184, 2.139017253477421 41.370572457281895, 2.1388034165976766 41.370429223789365))"
T13859I,<=15 µg/m³,"MULTILINESTRING ((2.0960567195455506 41.418831341658404, 2.0959151156156013 41.418808521816544, 2.095549790656176 41.418773585932755, 2.095384630283429 41.418732295250365, 2.095282397327477 41.41868348220793, 2.0950270470849808 41.41855338935795, 2.094720524976705 41.41840298711387, 2.094635633736269 41.418346293219436, 2.094533958245903 41.41825740072602, 2.0945340207505585 41.41825289749078))"
T12035Y,20-25 µg/m³,"MULTILINESTRING ((2.1830084497308397 41.445222005141204, 2.1824915123458224 41.44534307962379))"
RD0129Y,25-30 µg/m³,"MULTILINESTRING ((2.131835408327595 41.41421828639792, 2.1318675050515026 41.41422956957804, 2.132037475593184 41.41427895091467, 2.132210270059646 41.41432294880644, 2.1323855294754606 41.414361560526196, 2.132562775232239 41.414394782463965, 2.1326702359589267 41.41441198561084, 2.1329854662337837 41.41446155895019, 2.1332498187581 41.414503992828685, 2.1333860612285487 41.414525375262826, 2.133524610047913 41.41454710943773))"
T08313U,20-25 µg/m³,"MULTILINESTRING ((2.1665773835698867 41.407748381723266, 2.166001125261534 41.40825853699657))"
T02155A,20-25 µg/m³,"MULTILINESTRING ((2.148287004611713 41.391603956685046, 2.1494198909858397 41.39246115323278))"
T07338Z,20-25 µg/m³,"MULTILINESTRING ((2.134545931191063 41.384641739419905, 2.1348671443741747 41.38472461727137))"
